Company    share      C              gamma  fitness
----------------------------------------------------------
APPLE      AAPL       513.2815377     0.0001 0.3530631936
APPLE      AAPL           1000.0     0.0001 0.367997111
EXXON   XOM        261.8382098     0.0001 0.2010106622
EXXON   XOM            1000.0     0.0001 0.1807538574
ADOBE      ADBE       415.2612928     0.0001 0.2301144383
ADOBE      ADBE       912.2480998     0.0001 0.2279130152
TESLA      TSLA           1000.0     0.0001 0.6944730385
TESLA      TSLA       717.7874829     0.0001 0.7025546877
TESLA      TSLA           1000.0     0.0001 0.6944730385
HEWLETT    HPE        55.52530322 0.0378536079 0.2053392144
HEWLETT    HPE            1000.0     0.0001 0.2486069689
HEWLETT    HPE        423.2863309     0.0001 0.2500783311
ORACLE     ORCL       436.2099702     0.0001 0.3005761301
ORACLE     ORCL       915.0524709     0.0001 0.3025700839
ORACLE     ORCL       7079.634904      1e-05 0.2997179248
COCA-COL   KO         444.5344588      1e-05 0.3948154175
COCA-COL   KO         687.1571394     0.0001 0.4009367257
COCA-COL   KO         3576.976603      1e-05 0.4029948936
BNY    BK            10000.0      1e-05 0.3306209708
BNY    BK         662.0665058     0.0001 0.3314619008
BNY    BK             1000.0     0.0001 0.3298315092
FMC        FMC            1000.0     0.0001 0.2088961063
FMC        FMC        309.3938696     0.0001 0.2080899594
FMC        FMC           10000.0      1e-05 0.2079037801
AMERICAN   AXP        424.5398976     0.0001 0.3292378815
AMERICAN   AXP        463.4348055     0.0001 0.3289960368
AMERICAN   AXP        22.05902755      1e-05 0.3219336338
HONEYWEL   HON        107.9822341     0.0001 0.3746771788
HONEYWEL   HON        109.0184743     0.0001 0.3746773323
HONEYWEL   HON           10000.0      1e-05 0.3702589914
AT&T       T             10000.0      1e-05 0.2470249505
AT&T       T          809.2082384 139.5494397 1.628046344
AT&T       T          109.5438092     0.0001 0.2570082301
