Company    share 	         C      gamma 	   fitness
----------------------------------------------------------------------
TESLA      TSLA           1000.0 0.0001420092552 0.6860481663
TESLA      TSLA           1000.0 0.000142017471 0.6860481664
TESLA      TSLA           1000.0 0.0001420004029 0.6860481663
ADOBE      ADBE           1000.0     0.0001 0.2278526006
ADOBE      ADBE           1000.0     0.0001 0.2278526006
ADOBE      ADBE           1000.0     0.0001 0.2278526006
EXXON   XOM            1000.0 0.0001614297408 0.1806571621
EXXON   XOM            1000.0 0.0001614330857 0.1806571592
EXXON   XOM            1000.0 0.0001614293476 0.1806571625
APPLE      AAPL       999.9126826 0.0003259729869 0.347634433
APPLE      AAPL       999.9438604 0.0003284039826 0.3476388982
APPLE      AAPL           1000.0 0.0003247569631 0.3476315158
HEWLETT    HPE        998.3833327 0.0001378922314 0.242011967
HEWLETT    HPE        466.6329914 0.0001505799632 0.2433522761
HEWLETT    HPE            1000.0 0.0001380774323 0.2420097543
AMERICAN   AXP        2.224972281     0.0001 0.3218808059
AMERICAN   AXP        2.225121497     0.0001 0.3218808058
AMERICAN   AXP        1.578275232 0.0001396338669 0.3219232412
BNY    BK         465.1723204 0.000170091559 0.3351044258
BNY    BK             1000.0 0.0001281152086 0.3301853724
BNY    BK             1000.0 0.0001281154031 0.3301853714
COCA-COL   KO         4.976366464     0.0001 0.4001393318
COCA-COL   KO         4.976852428     0.0001 0.4001394101
COCA-COL   KO         1.50027286 0.06115476841 0.3848196624
HONEYWEL   HON        237.2252093 0.0002477876891 0.3723172739
HONEYWEL   HON        558.8629258 0.0001003144276 0.374130036
HONEYWEL   HON        997.1701933 0.0001066575092 0.3741585184
AT&T       T              1000.0 0.0001076299971 0.2473388467
AT&T       T              1000.0 0.0001076299971 0.2473388467
AT&T       T          110.1552701     0.0001 0.2569956661
FMC        FMC        954.6998067 0.000227417126 0.2060152914
FMC        FMC        953.7682089 0.0002488093907 0.2060482814
FMC        FMC        982.978301 0.0002533253733 0.2060401757
ORACLE     ORCL       441.7647314     0.0001 0.301921846
ORACLE     ORCL       441.7163707     0.0001 0.3019218483
ORACLE     ORCL       441.708665     0.0001 0.3019218504
